src,dst,packet_size
76,57,1
76,25,1
76,57,1
44,89,1
76,57,1
76,57,1
88,11,1
90,75,1
32,55,1
86,22,1
66,25,1
88,58,1
72,59,1
79,30,1
22,5,1
25,24,1
47,84,1
64,98,1
85,10,1
64,55,1
88,93,1
61,78,1
97,21,1
39,79,1
11,47,1
94,25,1
72,16,1
76,34,1
93,74,1
11,32,1
19,10,1
78,8,1
14,17,1
78,65,1
39,55,1
13,9,1
27,13,1
24,21,1
19,64,1
38,78,1
78,82,1
93,97,1
66,50,1
74,41,1
34,84,1
63,56,1
63,10,1
63,22,1
96,1,1
80,12,1
80,78,1
11,84,1
78,25,1
83,15,1
10,14,1
97,41,1
22,84,1
96,12,1
90,22,1
10,32,1
14,82,1
14,75,1
2,85,1
87,63,1
19,85,1
11,98,1
66,61,1
79,5,1
47,92,1
10,86,1
80,41,1
23,27,1
23,57,1
76,65,1
37,32,1
76,7,1
23,1,1
32,37,1
25,3,1
9,46,1
15,94,1
63,79,1
72,42,1
91,81,1
53,12,1
80,83,1
44,13,1
25,90,1
53,70,1
94,23,1
55,12,1
89,66,1
9,85,1
34,22,1
14,76,1
63,79,1
56,37,1
55,91,1
6,66,1
67,33,1
33,32,1
74,8,1
74,23,1
28,65,1
16,74,1
5,11,1
7,71,1
56,83,1
1,19,1
23,53,1
79,74,1
64,19,1
53,98,1
50,23,1
98,50,1
46,99,1
32,39,1
28,86,1
43,81,1
61,33,1
74,99,1
23,72,1
56,93,1
32,71,1
32,2,1
13,34,1
54,82,1
23,44,1
59,8,1
80,93,1
27,43,1
56,43,1
32,92,1
14,70,1
51,66,1
10,2,1
43,16,1
56,9,1
44,84,1
14,34,1
41,1,1
16,95,1
47,67,1
74,41,1
63,82,1
63,78,1
43,98,1
98,64,1
88,43,1
14,63,1
75,10,1
27,24,1
9,53,1
16,76,1
90,8,1
18,64,1
8,32,1
37,92,1
92,42,1
9,76,1
25,54,1
25,16,1
74,72,1
75,87,1
85,13,1
91,59,1
99,9,1
50,4,1
21,66,1
64,63,1
11,28,1
24,53,1
81,93,1
16,50,1
98,3,1
23,47,1
89,44,1
95,30,1
93,22,1
22,25,1
35,23,1
35,36,1
86,49,1
44,64,1
1,65,1
21,98,1
84,17,1
80,81,1
89,65,1
65,41,1
84,82,1
19,35,1
12,65,1
76,17,1
61,54,1
61,71,1
74,12,1
70,47,1
99,0,1
85,61,1
32,65,1
53,69,1
62,19,1
18,49,1
15,76,1
55,85,1
97,83,1
32,4,1
52,78,1
97,46,1
86,89,1
86,65,1
23,13,1
56,83,1
61,10,1
61,9,1
72,45,1
75,71,1
61,55,1
86,59,1
61,28,1
4,37,1
97,70,1
97,72,1
80,76,1
1,92,1
51,33,1
25,27,1
32,25,1
74,25,1
34,71,1
95,59,1
44,70,1
4,76,1
67,52,1
94,79,1
50,43,1
59,91,1
79,20,1
17,84,1
34,41,1
72,12,1
4,18,1
97,23,1
98,88,1
4,46,1
4,32,1
63,12,1
95,23,1
8,51,1
72,46,1
86,92,1
32,15,1
53,55,1
32,64,1
13,92,1
64,17,1
33,14,1
75,14,1
89,75,1
64,62,1
76,8,1
89,50,1
95,88,1
56,62,1
99,85,1
53,78,1
14,3,1
20,68,1
12,4,1
54,41,1
32,67,1
22,13,1
82,47,1
8,79,1
96,17,1
4,94,1
84,74,1
71,2,1
79,65,1
32,5,1
62,58,1
65,86,1
74,8,1
45,11,1
50,62,1
23,11,1
78,33,1
47,65,1
53,50,1
76,23,1
76,41,1
4,87,1
78,43,1
78,89,1
18,11,1
53,82,1
8,61,1
33,89,1
46,89,1
7,35,1
80,25,1
94,75,1
27,56,1
34,97,1
82,74,1
7,42,1
