src,dst,packet_size
37,72,1
72,67,1
72,67,1
72,37,1
2,67,1
57,41,1
72,2,1
67,72,1
2,37,1
72,37,1
96,29,1
89,38,1
72,2,1
67,72,1
72,67,1
37,67,1
72,67,1
80,2,1
37,72,1
72,67,1
72,37,1
95,67,1
67,2,1
72,67,1
2,67,1
2,67,1
38,53,1
72,2,1
72,67,1
67,72,1
37,72,1
72,67,1
67,2,1
67,72,1
67,72,1
89,93,1
37,67,1
2,67,1
72,37,1
38,76,1
37,67,1
67,72,1
59,94,1
71,4,1
37,2,1
2,67,1
67,72,1
2,67,1
55,2,1
9,52,1
2,72,1
72,67,1
37,67,1
67,37,1
37,72,1
37,72,1
37,72,1
37,67,1
72,67,1
72,67,1
72,2,1
37,2,1
72,67,1
72,2,1
72,67,1
67,72,1
9,52,1
72,37,1
67,37,1
2,72,1
2,72,1
35,2,1
44,72,1
4,13,1
59,48,1
37,72,1
67,37,1
2,72,1
2,72,1
58,37,1
72,67,1
72,67,1
67,37,1
72,2,1
67,72,1
37,72,1
11,72,1
72,67,1
67,72,1
37,72,1
72,37,1
67,37,1
37,67,1
97,2,1
72,67,1
72,2,1
9,29,1
67,2,1
67,72,1
67,72,1
37,2,1
45,86,1
2,72,1
67,72,1
74,37,1
67,2,1
75,35,1
76,2,1
2,67,1
72,67,1
67,96,1
72,37,1
72,37,1
37,67,1
72,67,1
72,37,1
72,67,1
37,67,1
72,67,1
72,67,1
37,2,1
8,72,1
74,67,1
2,72,1
67,72,1
72,67,1
72,2,1
72,67,1
37,67,1
37,67,1
2,72,1
67,72,1
8,77,1
72,67,1
72,37,1
67,72,1
72,2,1
4,13,1
37,67,1
2,8,1
72,67,1
37,72,1
37,2,1
37,72,1
72,67,1
72,67,1
62,37,1
67,37,1
72,67,1
72,67,1
72,67,1
72,37,1
72,67,1
72,2,1
72,67,1
9,63,1
37,72,1
2,37,1
8,72,1
96,67,1
2,72,1
72,37,1
72,67,1
72,2,1
2,72,1
37,67,1
2,67,1
2,37,1
72,67,1
7,82,1
72,37,1
72,67,1
67,72,1
72,67,1
24,41,1
72,67,1
67,2,1
37,2,1
72,67,1
37,72,1
72,67,1
67,72,1
72,67,1
77,41,1
72,67,1
67,72,1
3,37,1
72,37,1
55,2,1
72,2,1
72,67,1
72,67,1
72,67,1
94,38,1
72,67,1
37,67,1
67,72,1
83,2,1
67,37,1
56,23,1
72,67,1
67,2,1
37,67,1
72,37,1
37,67,1
82,67,1
67,72,1
67,37,1
2,37,1
38,30,1
67,72,1
92,77,1
7,91,1
67,72,1
72,67,1
37,72,1
72,37,1
67,37,1
37,67,1
92,2,1
37,72,1
37,72,1
37,72,1
72,37,1
72,2,1
2,67,1
67,72,1
67,72,1
72,67,1
67,2,1
37,67,1
67,72,1
2,37,1
72,2,1
72,67,1
72,2,1
72,67,1
72,37,1
67,72,1
72,67,1
29,7,1
72,37,1
74,94,1
96,13,1
67,72,1
67,37,1
74,72,1
72,2,1
38,30,1
7,49,1
35,67,1
2,72,1
67,2,1
2,37,1
72,97,1
2,67,1
37,72,1
67,37,1
63,59,1
37,72,1
91,67,1
72,37,1
72,67,1
35,2,1
43,37,1
2,67,1
2,67,1
91,67,1
39,37,1
2,72,1
72,2,1
72,67,1
72,2,1
67,2,1
67,37,1
59,37,1
72,67,1
2,72,1
72,37,1
67,72,1
2,67,1
2,72,1
65,2,1
67,2,1
59,82,1
72,67,1
67,72,1
67,2,1
72,67,1
2,67,1
72,67,1
4,13,1
72,67,1
67,72,1
72,67,1
72,2,1
37,67,1
2,67,1
72,67,1
67,37,1
37,2,1
19,2,1
61,8,1
72,2,1
67,72,1
