,network_size,zipf,algorithm,adjustment_cost,routing_cost,total_cost,alpha,window_size,sliding_offset
0,100,1.1,splaynet,5235964,777579,6013543,,,
1,100,1.1,lazy,744900,777579,1522479,100,,
2,100,1.1,sliding,743900,776346,1520246,,100,10
3,100,1.1,sliding_no_reset,745500,778539,1524039,,100,10
4,100,1.1,sliding,743900,776346,1520246,,100,90
5,100,1.1,sliding_no_reset,745500,778539,1524039,,100,90
6,100,1.1,sliding,743900,776346,1520246,,100,100
7,100,1.1,sliding_no_reset,745500,778539,1524039,,100,100
8,100,1.25,splaynet,4973610,679715,5653325,,,
9,100,1.25,lazy,652300,679715,1332015,100,,
10,100,1.25,sliding,653700,680421,1334121,,100,10
11,100,1.25,sliding_no_reset,651900,679169,1331069,,100,10
12,100,1.25,sliding,653700,680421,1334121,,100,90
13,100,1.25,sliding_no_reset,651900,679169,1331069,,100,90
14,100,1.25,sliding,653700,680421,1334121,,100,100
15,100,1.25,sliding_no_reset,651900,679169,1331069,,100,100
16,100,1.5,splaynet,4620826,532543,5153369,,,
17,100,1.5,lazy,513100,532543,1045643,100,,
18,100,1.5,sliding,516300,535774,1052074,,100,10
19,100,1.5,sliding_no_reset,512600,532213,1044813,,100,10
20,100,1.5,sliding,516300,535774,1052074,,100,90
21,100,1.5,sliding_no_reset,512600,532213,1044813,,100,90
22,100,1.5,sliding,516300,535774,1052074,,100,100
23,100,1.5,sliding_no_reset,512600,532213,1044813,,100,100
24,100,1.75,splaynet,4370416,416930,4787346,,,
25,100,1.75,lazy,403300,416930,820230,100,,
26,100,1.75,sliding,407700,421339,829039,,100,10
27,100,1.75,sliding_no_reset,402400,416191,818591,,100,10
28,100,1.75,sliding,407700,421339,829039,,100,90
29,100,1.75,sliding_no_reset,402400,416191,818591,,100,90
30,100,1.75,sliding,407700,421339,829039,,100,100
31,100,1.75,sliding_no_reset,402400,416191,818591,,100,100
32,100,2.0,splaynet,4209168,341405,4550573,,,
33,100,2.0,lazy,331300,341405,672705,100,,
34,100,2.0,sliding,334500,344883,679383,,100,10
35,100,2.0,sliding_no_reset,331600,342080,673680,,100,10
36,100,2.0,sliding,334500,344883,679383,,100,90
37,100,2.0,sliding_no_reset,331600,342080,673680,,100,90
38,100,2.0,sliding,334500,344883,679383,,100,100
39,100,2.0,sliding_no_reset,331600,342080,673680,,100,100
40,100,2.25,splaynet,4106780,287099,4393879,,,
41,100,2.25,lazy,279400,287099,566499,100,,
42,100,2.25,sliding,282700,290754,573454,,100,10
43,100,2.25,sliding_no_reset,279800,287505,567305,,100,10
44,100,2.25,sliding,282700,290754,573454,,100,90
45,100,2.25,sliding_no_reset,279800,287505,567305,,100,90
46,100,2.25,sliding,282700,290754,573454,,100,100
47,100,2.25,sliding_no_reset,279800,287505,567305,,100,100
48,100,2.5,splaynet,4018344,250741,4269085,,,
49,100,2.5,lazy,244500,250741,495241,100,,
50,100,2.5,sliding,246700,253002,499702,,100,10
51,100,2.5,sliding_no_reset,244900,251118,496018,,100,10
52,100,2.5,sliding,246700,253002,499702,,100,90
53,100,2.5,sliding_no_reset,244900,251118,496018,,100,90
54,100,2.5,sliding,246700,253002,499702,,100,100
55,100,2.5,sliding_no_reset,244900,251118,496018,,100,100
