,network_size,tau,adjustment_cost_splaynet,routing_cost_splaynet,total_cost_splaynet,adjustment_cost_lazy,routing_cost_lazy,total_cost_lazy,adjustment_cost_sliding,routing_cost_sliding,total_cost_sliding
0,100.0,0.1,766934.0,4816502.0,5583436.0,140670.0,100000.0,240670.0,202978.0,176264.0,379242.0
1,200.0,0.1,944776.0,6264612.0,7209388.0,149639.0,100000.0,249639.0,202915.0,177836.0,380751.0
2,300.0,0.1,1050520.0,7113568.0,8164088.0,154840.0,100000.0,254840.0,202748.0,177824.0,380572.0
3,400.0,0.1,1126174.0,7754518.0,8880692.0,158662.0,100000.0,258662.0,202196.0,178308.0,380504.0
4,500.0,0.1,1183026.0,8239454.0,9422480.0,161739.0,100000.0,261739.0,202100.0,178111.0,380211.0
5,600.0,0.1,1233491.0,8626540.0,9860031.0,164255.0,100000.0,264255.0,201900.0,178069.0,379969.0
6,700.0,0.1,1272488.0,8963416.0,10235904.0,166545.0,100000.0,266545.0,201804.0,178062.0,379866.0
7,800.0,0.1,1309646.0,9273770.0,10583416.0,168214.0,100000.0,268214.0,201660.0,178375.0,380035.0
8,900.0,0.1,1340707.0,9530718.0,10871425.0,169659.0,100000.0,269659.0,201525.0,178254.0,379779.0
9,1000.0,0.1,1367116.0,9760296.0,11127412.0,170798.0,100000.0,270798.0,201439.0,177990.0,379429.0
10,100.0,0.2,702773.0,4271440.0,4974213.0,136421.0,100000.0,236421.0,202949.0,156419.0,359368.0
11,200.0,0.2,859510.0,5551500.0,6411010.0,144229.0,100000.0,244229.0,202773.0,157738.0,360511.0
12,300.0,0.2,953586.0,6309274.0,7262860.0,148946.0,100000.0,248946.0,202944.0,157808.0,360752.0
13,400.0,0.2,1019343.0,6867724.0,7887067.0,152328.0,100000.0,252328.0,202288.0,158000.0,360288.0
14,500.0,0.2,1075009.0,7309204.0,8384213.0,155169.0,100000.0,255169.0,202132.0,158452.0,360584.0
15,600.0,0.2,1117347.0,7645864.0,8763211.0,157294.0,100000.0,257294.0,202062.0,157909.0,359971.0
16,700.0,0.2,1152935.0,7963100.0,9116035.0,159188.0,100000.0,259188.0,201750.0,158220.0,359970.0
17,800.0,0.2,1181611.0,8214150.0,9395761.0,160554.0,100000.0,260554.0,201478.0,158018.0,359496.0
18,900.0,0.2,1212234.0,8452400.0,9664634.0,162037.0,100000.0,262037.0,201390.0,158181.0,359571.0
19,1000.0,0.2,1237348.0,8661640.0,9898988.0,163193.0,100000.0,263193.0,201571.0,158206.0,359777.0
20,100.0,0.3,639902.0,3741350.0,4381252.0,132108.0,100000.0,232108.0,203006.0,137277.0,340283.0
21,200.0,0.3,777778.0,4858876.0,5636654.0,138971.0,100000.0,238971.0,202720.0,138352.0,341072.0
22,300.0,0.3,857845.0,5507552.0,6365397.0,143060.0,100000.0,243060.0,202566.0,137748.0,340314.0
23,400.0,0.3,919404.0,6022734.0,6942138.0,146145.0,100000.0,246145.0,202294.0,138555.0,340849.0
24,500.0,0.3,964917.0,6380442.0,7345359.0,148493.0,100000.0,248493.0,201899.0,138396.0,340295.0
25,600.0,0.3,999511.0,6676396.0,7675907.0,150323.0,100000.0,250323.0,201796.0,137840.0,339636.0
26,700.0,0.3,1033621.0,6964326.0,7997947.0,152058.0,100000.0,252058.0,201744.0,138469.0,340213.0
27,800.0,0.3,1059582.0,7194108.0,8253690.0,153482.0,100000.0,253482.0,201496.0,138448.0,339944.0
28,900.0,0.3,1086877.0,7401262.0,8488139.0,154613.0,100000.0,254613.0,201569.0,138480.0,340049.0
29,1000.0,0.3,1108041.0,7567550.0,8675591.0,155531.0,100000.0,255531.0,201397.0,138255.0,339652.0
30,100.0,0.4,578117.0,3215474.0,3793591.0,127875.0,100000.0,227875.0,202697.0,117985.0,320682.0
31,200.0,0.4,695892.0,4167912.0,4863804.0,133615.0,100000.0,233615.0,202898.0,118724.0,321622.0
32,300.0,0.4,763998.0,4718450.0,5482448.0,137222.0,100000.0,237222.0,202560.0,118216.0,320776.0
33,400.0,0.4,816781.0,5160682.0,5977463.0,139994.0,100000.0,239994.0,202452.0,118929.0,321381.0
34,500.0,0.4,856532.0,5487520.0,6344052.0,141939.0,100000.0,241939.0,202127.0,118930.0,321057.0
35,600.0,0.4,884756.0,5719650.0,6604406.0,143459.0,100000.0,243459.0,201744.0,118215.0,319959.0
36,700.0,0.4,915957.0,5988548.0,6904505.0,145016.0,100000.0,245016.0,201716.0,119264.0,320980.0
37,800.0,0.4,936969.0,6167516.0,7104485.0,146043.0,100000.0,246043.0,201515.0,118876.0,320391.0
38,900.0,0.4,957753.0,6326330.0,7284083.0,146943.0,100000.0,246943.0,201539.0,118658.0,320197.0
39,1000.0,0.4,976924.0,6495560.0,7472484.0,147869.0,100000.0,247869.0,201367.0,118772.0,320139.0
40,100.0,0.5,514235.0,2664760.0,3178995.0,123413.0,100000.0,223413.0,203237.0,98161.0,301398.0
41,200.0,0.5,612952.0,3462366.0,4075318.0,128342.0,100000.0,228342.0,202926.0,98863.0,301789.0
42,300.0,0.5,671246.0,3944080.0,4615326.0,131374.0,100000.0,231374.0,202492.0,98886.0,301378.0
43,400.0,0.5,713542.0,4285732.0,4999274.0,133601.0,100000.0,233601.0,202279.0,98916.0,301195.0
44,500.0,0.5,748035.0,4573850.0,5321885.0,135479.0,100000.0,235479.0,202264.0,98955.0,301219.0
45,600.0,0.5,771889.0,4777326.0,5549215.0,136686.0,100000.0,236686.0,201682.0,98879.0,300561.0
46,700.0,0.5,796077.0,4971326.0,5767403.0,137801.0,100000.0,237801.0,201496.0,99093.0,300589.0
47,800.0,0.5,813436.0,5128546.0,5941982.0,138684.0,100000.0,238684.0,201418.0,98800.0,300218.0
48,900.0,0.5,833487.0,5287454.0,6120941.0,139648.0,100000.0,239648.0,201576.0,99121.0,300697.0
49,1000.0,0.5,848416.0,5417248.0,6265664.0,140338.0,100000.0,240338.0,201350.0,98879.0,300229.0
50,100.0,0.6,454044.0,2146240.0,2600284.0,119194.0,100000.0,219194.0,203032.0,79058.0,282090.0
51,200.0,0.6,532444.0,2786590.0,3319034.0,123223.0,100000.0,223223.0,202559.0,79350.0,281909.0
52,300.0,0.6,578461.0,3153094.0,3731555.0,125551.0,100000.0,225551.0,202574.0,79188.0,281762.0
53,400.0,0.6,612933.0,3446152.0,4059085.0,127439.0,100000.0,227439.0,201937.0,79429.0,281366.0
54,500.0,0.6,640198.0,3681198.0,4321396.0,128953.0,100000.0,228953.0,202236.0,79837.0,282073.0
55,600.0,0.6,659590.0,3827216.0,4486806.0,129835.0,100000.0,229835.0,201615.0,79124.0,280739.0
56,700.0,0.6,678519.0,3998156.0,4676675.0,130792.0,100000.0,230792.0,201393.0,79565.0,280958.0
57,800.0,0.6,693320.0,4118902.0,4812222.0,131504.0,100000.0,231504.0,201204.0,79281.0,280485.0
58,900.0,0.6,711828.0,4272534.0,4984362.0,132326.0,100000.0,232326.0,201420.0,79868.0,281288.0
59,1000.0,0.6,723580.0,4365312.0,5088892.0,132903.0,100000.0,232903.0,201459.0,79761.0,281220.0
60,100.0,0.7,390987.0,1606528.0,1997515.0,114932.0,100000.0,214932.0,203000.0,59235.0,262235.0
