,network_size,tau,algorithm,adjustment_cost,routing_cost,total_cost,alpha,window_size,sliding_offset
0,100,0.1,splaynet,4816502,766934,5583436,,,
1,100,0.1,lazy,734600,766934,1501534,100,,
2,100,0.1,sliding,744700,777306,1522006,,100,10
3,100,0.1,sliding_no_reset,741500,774192,1515692,,100,10
4,100,0.1,sliding,744700,777306,1522006,,100,90
5,100,0.1,sliding_no_reset,741500,774192,1515692,,100,90
6,100,0.1,sliding,744700,777306,1522006,,100,100
7,100,0.1,sliding_no_reset,741500,774192,1515692,,100,100
8,100,0.2,splaynet,4271440,702773,4974213,,,
9,100,0.2,lazy,674100,702773,1376873,100,,
10,100,0.2,sliding,687900,717145,1405045,,100,10
11,100,0.2,sliding_no_reset,683400,712701,1396101,,100,10
12,100,0.2,sliding,687900,717145,1405045,,100,90
13,100,0.2,sliding_no_reset,683400,712701,1396101,,100,90
14,100,0.2,sliding,687900,717145,1405045,,100,100
15,100,0.2,sliding_no_reset,683400,712701,1396101,,100,100
16,100,0.3,splaynet,3741350,639902,4381252,,,
17,100,0.3,lazy,614100,639902,1254002,100,,
18,100,0.3,sliding,631900,658303,1290203,,100,10
19,100,0.3,sliding_no_reset,627800,653785,1281585,,100,10
20,100,0.3,sliding,631900,658303,1290203,,100,90
21,100,0.3,sliding_no_reset,627800,653785,1281585,,100,90
22,100,0.3,sliding,631900,658303,1290203,,100,100
23,100,0.3,sliding_no_reset,627800,653785,1281585,,100,100
24,100,0.4,splaynet,3215474,578117,3793591,,,
25,100,0.4,lazy,556400,578117,1134517,100,,
26,100,0.4,sliding,574700,597258,1171958,,100,10
27,100,0.4,sliding_no_reset,570700,592996,1163696,,100,10
28,100,0.4,sliding,574700,597258,1171958,,100,90
29,100,0.4,sliding_no_reset,570700,592996,1163696,,100,90
30,100,0.4,sliding,574700,597258,1171958,,100,100
31,100,0.4,sliding_no_reset,570700,592996,1163696,,100,100
32,100,0.5,splaynet,2664760,514235,3178995,,,
33,100,0.5,lazy,495700,514235,1009935,100,,
34,100,0.5,sliding,515100,534721,1049821,,100,10
35,100,0.5,sliding_no_reset,510800,529690,1040490,,100,10
36,100,0.5,sliding,515100,534721,1049821,,100,90
37,100,0.5,sliding_no_reset,510800,529690,1040490,,100,90
38,100,0.5,sliding,515100,534721,1049821,,100,100
39,100,0.5,sliding_no_reset,510800,529690,1040490,,100,100
40,100,0.6,splaynet,2146240,454044,2600284,,,
41,100,0.6,lazy,439000,454044,893044,100,,
42,100,0.6,sliding,457000,472614,929614,,100,10
43,100,0.6,sliding_no_reset,454500,469966,924466,,100,10
44,100,0.6,sliding,457000,472614,929614,,100,90
45,100,0.6,sliding_no_reset,454500,469966,924466,,100,90
46,100,0.6,sliding,457000,472614,929614,,100,100
47,100,0.6,sliding_no_reset,454500,469966,924466,,100,100
48,100,0.7,splaynet,1606528,390987,1997515,,,
49,100,0.7,lazy,379400,390987,770387,100,,
50,100,0.7,sliding,395000,407722,802722,,100,10
51,100,0.7,sliding_no_reset,391900,404318,796218,,100,10
52,100,0.7,sliding,395000,407722,802722,,100,90
53,100,0.7,sliding_no_reset,391900,404318,796218,,100,90
54,100,0.7,sliding,395000,407722,802722,,100,100
55,100,0.7,sliding_no_reset,391900,404318,796218,,100,100
56,100,0.8,splaynet,1067104,327074,1394178,,,
57,100,0.8,lazy,318900,327074,645974,100,,
58,100,0.8,sliding,331700,340219,671919,,100,10
59,100,0.8,sliding_no_reset,328500,336748,665248,,100,10
60,100,0.8,sliding,331700,340219,671919,,100,90
61,100,0.8,sliding_no_reset,328500,336748,665248,,100,90
62,100,0.8,sliding,331700,340219,671919,,100,100
63,100,0.8,sliding_no_reset,328500,336748,665248,,100,100
64,100,0.9,splaynet,530874,265554,796428,,,
65,100,0.9,lazy,260900,265554,526454,100,,
66,100,0.9,sliding,267700,272416,540116,,100,10
67,100,0.9,sliding_no_reset,266100,271091,537191,,100,10
68,100,0.9,sliding,267700,272416,540116,,100,90
69,100,0.9,sliding_no_reset,266100,271091,537191,,100,90
70,100,0.9,sliding,267700,272416,540116,,100,100
71,100,0.9,sliding_no_reset,266100,271091,537191,,100,100
