,network_size,tau,adjustment_cost_splaynet,routing_cost_splaynet,total_cost_splaynet,adjustment_cost_lazy,routing_cost_lazy,total_cost_lazy,adjustment_cost_sliding,routing_cost_sliding,total_cost_sliding
0,100.0,0.1,766934.0,4816502.0,5583436.0,140687.0,100000.0,240687.0,202978.0,176264.0,379242.0
1,200.0,0.1,944776.0,6264612.0,7209388.0,149653.0,100000.0,249653.0,202913.0,177836.0,380749.0
2,300.0,0.1,1050520.0,7113568.0,8164088.0,154795.0,100000.0,254795.0,202756.0,177824.0,380580.0
3,400.0,0.1,1126174.0,7754518.0,8880692.0,158727.0,100000.0,258727.0,202217.0,178289.0,380506.0
4,500.0,0.1,1183026.0,8239454.0,9422480.0,161646.0,100000.0,261646.0,202091.0,178119.0,380210.0
5,600.0,0.1,1233491.0,8626540.0,9860031.0,164373.0,100000.0,264373.0,201907.0,178077.0,379984.0
6,700.0,0.1,1272488.0,8963416.0,10235904.0,166335.0,100000.0,266335.0,201794.0,178073.0,379867.0
7,800.0,0.1,1309646.0,9273770.0,10583416.0,168292.0,100000.0,268292.0,201600.0,178385.0,379985.0
8,900.0,0.1,1340707.0,9530718.0,10871425.0,169734.0,100000.0,269734.0,201615.0,178224.0,379839.0
9,1000.0,0.1,1367116.0,9760296.0,11127412.0,170883.0,100000.0,270883.0,201491.0,177994.0,379485.0
10,100.0,0.2,702773.0,4271440.0,4974213.0,136416.0,100000.0,236416.0,202949.0,156419.0,359368.0
11,200.0,0.2,859510.0,5551500.0,6411010.0,144164.0,100000.0,244164.0,202780.0,157689.0,360469.0
12,300.0,0.2,953586.0,6309274.0,7262860.0,148839.0,100000.0,248839.0,202973.0,157811.0,360784.0
13,400.0,0.2,1019343.0,6867724.0,7887067.0,152395.0,100000.0,252395.0,202187.0,158002.0,360189.0
14,500.0,0.2,1075009.0,7309204.0,8384213.0,155088.0,100000.0,255088.0,202191.0,158460.0,360651.0
15,600.0,0.2,1117347.0,7645864.0,8763211.0,157369.0,100000.0,257369.0,202090.0,157906.0,359996.0
16,700.0,0.2,1152935.0,7963100.0,9116035.0,159273.0,100000.0,259273.0,201719.0,158224.0,359943.0
17,800.0,0.2,1181611.0,8214150.0,9395761.0,160507.0,100000.0,260507.0,201429.0,157992.0,359421.0
18,900.0,0.2,1212234.0,8452400.0,9664634.0,161957.0,100000.0,261957.0,201366.0,158181.0,359547.0
19,1000.0,0.2,1237348.0,8661640.0,9898988.0,163214.0,100000.0,263214.0,201507.0,158229.0,359736.0
20,100.0,0.3,639902.0,3741350.0,4381252.0,132092.0,100000.0,232092.0,203006.0,137277.0,340283.0
