,network_size,tau,algorithm,adjustment_cost,routing_cost,total_cost,alpha,window_size,sliding_offset
0,1000,0.1,splaynet,9760296,1367116,11127412,,,
1,1000,0.1,lazy,1357600,112652,1470252,100,,
2,1000,0.1,sliding,889398,201441,1090839,,100,10
3,1000,0.1,sliding_no_reset,889398,201441,1090839,,100,10
4,1000,0.1,sliding,355883,201458,557341,,100,25
5,1000,0.1,sliding_no_reset,355883,201458,557341,,100,25
6,1000,0.1,sliding,222460,201431,423891,,100,40
7,1000,0.1,sliding_no_reset,222460,201431,423891,,100,40
8,1000,0.1,sliding,177994,201410,379404,,100,50
9,1000,0.1,sliding_no_reset,177994,201410,379404,,100,50
10,1000,0.1,sliding,148380,201388,349768,,100,60
11,1000,0.1,sliding_no_reset,148380,201388,349768,,100,60
12,1000,0.1,sliding,118720,201412,320132,,100,75
13,1000,0.1,sliding_no_reset,118720,201412,320132,,100,75
14,1000,0.1,sliding,98896,201382,300278,,100,90
15,1000,0.1,sliding_no_reset,98896,201382,300278,,100,90
16,1000,0.2,splaynet,8661640,1237348,9898988,,,
17,1000,0.2,lazy,1239100,111479,1350579,100,,
18,1000,0.2,sliding,790541,201523,992064,,100,10
19,1000,0.2,sliding_no_reset,790541,201523,992064,,100,10
20,1000,0.2,sliding,316331,201484,517815,,100,25
21,1000,0.2,sliding_no_reset,316331,201484,517815,,100,25
22,1000,0.2,sliding,197661,201482,399143,,100,40
23,1000,0.2,sliding_no_reset,197661,201482,399143,,100,40
24,1000,0.2,sliding,158227,201469,359696,,100,50
25,1000,0.2,sliding_no_reset,158227,201469,359696,,100,50
26,1000,0.2,sliding,131937,201462,333399,,100,60
27,1000,0.2,sliding_no_reset,131937,201462,333399,,100,60
28,1000,0.2,sliding,105528,201449,306977,,100,75
29,1000,0.2,sliding_no_reset,105528,201449,306977,,100,75
30,1000,0.2,sliding,88010,201534,289544,,100,90
31,1000,0.2,sliding_no_reset,88010,201534,289544,,100,90
32,1000,0.3,splaynet,7567550,1108041,8675591,,,
33,1000,0.3,lazy,1122600,110329,1232929,100,,
